threshold,precision,recall,f1,f2,fpr,specificity,tp,fp,tn,fn
0.05,0.3271028037383177,0.7954545454545454,0.4635761589403973,0.6183745583038868,0.48,0.52,35,72,78,9
0.06,0.3271028037383177,0.7954545454545454,0.4635761589403973,0.6183745583038868,0.48,0.52,35,72,78,9
0.07,0.3333333333333333,0.7954545454545454,0.4697986577181208,0.6227758007117437,0.4666666666666667,0.5333333333333333,35,70,80,9
0.08,0.3333333333333333,0.7954545454545454,0.4697986577181208,0.6227758007117437,0.4666666666666667,0.5333333333333333,35,70,80,9
0.09,0.3333333333333333,0.7954545454545454,0.4697986577181208,0.6227758007117437,0.4666666666666667,0.5333333333333333,35,70,80,9
0.1,0.3333333333333333,0.7954545454545454,0.4697986577181208,0.6227758007117437,0.4666666666666667,0.5333333333333333,35,70,80,9
0.11,0.3365384615384615,0.7954545454545454,0.4729729729729729,0.625,0.46,0.54,35,69,81,9
0.12,0.3365384615384615,0.7954545454545454,0.4729729729729729,0.625,0.46,0.54,35,69,81,9
0.13,0.3465346534653465,0.7954545454545454,0.4827586206896551,0.6317689530685919,0.44,0.56,35,66,84,9
0.14,0.3465346534653465,0.7954545454545454,0.4827586206896551,0.6317689530685919,0.44,0.56,35,66,84,9
0.15,0.3434343434343434,0.7727272727272727,0.4755244755244755,0.6181818181818182,0.4333333333333333,0.5666666666666667,34,65,85,10
0.16,0.3469387755102041,0.7727272727272727,0.4788732394366197,0.6204379562043795,0.4266666666666667,0.5733333333333334,34,64,86,10
0.17,0.3469387755102041,0.7727272727272727,0.4788732394366197,0.6204379562043795,0.4266666666666667,0.5733333333333334,34,64,86,10
0.18,0.3541666666666667,0.7727272727272727,0.4857142857142857,0.625,0.4133333333333333,0.5866666666666667,34,62,88,10
0.19,0.3541666666666667,0.7727272727272727,0.4857142857142857,0.625,0.4133333333333333,0.5866666666666667,34,62,88,10
0.2,0.3541666666666667,0.7727272727272727,0.4857142857142857,0.625,0.4133333333333333,0.5866666666666667,34,62,88,10
0.21,0.3541666666666667,0.7727272727272727,0.4857142857142857,0.625,0.4133333333333333,0.5866666666666667,34,62,88,10
0.22,0.3473684210526316,0.75,0.4748201438848921,0.6088560885608857,0.4133333333333333,0.5866666666666667,33,62,88,11
0.23,0.3548387096774194,0.75,0.4817518248175181,0.6133828996282529,0.4,0.6,33,60,90,11
0.24,0.358695652173913,0.75,0.4852941176470587,0.6156716417910447,0.3933333333333333,0.6066666666666667,33,59,91,11
0.25,0.358695652173913,0.75,0.4852941176470587,0.6156716417910447,0.3933333333333333,0.6066666666666667,33,59,91,11
0.26,0.3626373626373626,0.75,0.4888888888888888,0.6179775280898876,0.3866666666666666,0.6133333333333333,33,58,92,11
0.27,0.3626373626373626,0.75,0.4888888888888888,0.6179775280898876,0.3866666666666666,0.6133333333333333,33,58,92,11
0.28,0.3626373626373626,0.75,0.4888888888888888,0.6179775280898876,0.3866666666666666,0.6133333333333333,33,58,92,11
0.29,0.3626373626373626,0.75,0.4888888888888888,0.6179775280898876,0.3866666666666666,0.6133333333333333,33,58,92,11
0.3,0.3555555555555555,0.7272727272727273,0.4776119402985074,0.6015037593984963,0.3866666666666666,0.6133333333333333,32,58,92,12
0.31,0.3522727272727273,0.7045454545454546,0.4696969696969697,0.5871212121212122,0.38,0.62,31,57,93,13
0.32,0.3563218390804598,0.7045454545454546,0.4732824427480916,0.5893536121673004,0.3733333333333333,0.6266666666666667,31,56,94,13
0.33,0.3604651162790697,0.7045454545454546,0.4769230769230769,0.5916030534351145,0.3666666666666666,0.6333333333333333,31,55,95,13
0.34,0.3604651162790697,0.7045454545454546,0.4769230769230769,0.5916030534351145,0.3666666666666666,0.6333333333333333,31,55,95,13
0.35,0.369047619047619,0.7045454545454546,0.484375,0.5961538461538463,0.3533333333333333,0.6466666666666666,31,53,97,13
0.36,0.369047619047619,0.7045454545454546,0.484375,0.5961538461538463,0.3533333333333333,0.6466666666666666,31,53,97,13
0.37,0.369047619047619,0.7045454545454546,0.484375,0.5961538461538463,0.3533333333333333,0.6466666666666666,31,53,97,13
0.38,0.369047619047619,0.7045454545454546,0.484375,0.5961538461538463,0.3533333333333333,0.6466666666666666,31,53,97,13
0.39,0.3734939759036144,0.7045454545454546,0.4881889763779528,0.5984555984555985,0.3466666666666667,0.6533333333333333,31,52,98,13
0.4000000000000001,0.3780487804878049,0.7045454545454546,0.4920634920634921,0.6007751937984496,0.34,0.66,31,51,99,13
0.4100000000000001,0.3780487804878049,0.7045454545454546,0.4920634920634921,0.6007751937984496,0.34,0.66,31,51,99,13
0.42,0.382716049382716,0.7045454545454546,0.496,0.603112840466926,0.3333333333333333,0.6666666666666666,31,50,100,13
0.43,0.382716049382716,0.7045454545454546,0.496,0.603112840466926,0.3333333333333333,0.6666666666666666,31,50,100,13
0.44,0.382716049382716,0.7045454545454546,0.496,0.603112840466926,0.3333333333333333,0.6666666666666666,31,50,100,13
0.45,0.3875,0.7045454545454546,0.5,0.60546875,0.3266666666666666,0.6733333333333333,31,49,101,13
0.4600000000000001,0.3875,0.7045454545454546,0.5,0.60546875,0.3266666666666666,0.6733333333333333,31,49,101,13
0.4700000000000001,0.3875,0.7045454545454546,0.5,0.60546875,0.3266666666666666,0.6733333333333333,31,49,101,13
0.4800000000000001,0.3875,0.7045454545454546,0.5,0.60546875,0.3266666666666666,0.6733333333333333,31,49,101,13
0.49,0.3875,0.7045454545454546,0.5,0.60546875,0.3266666666666666,0.6733333333333333,31,49,101,13
0.5000000000000001,0.3875,0.7045454545454546,0.5,0.60546875,0.3266666666666666,0.6733333333333333,31,49,101,13
0.5100000000000001,0.3875,0.7045454545454546,0.5,0.60546875,0.3266666666666666,0.6733333333333333,31,49,101,13
0.5200000000000001,0.3875,0.7045454545454546,0.5,0.60546875,0.3266666666666666,0.6733333333333333,31,49,101,13
0.5300000000000001,0.3875,0.7045454545454546,0.5,0.60546875,0.3266666666666666,0.6733333333333333,31,49,101,13
0.5400000000000001,0.3875,0.7045454545454546,0.5,0.60546875,0.3266666666666666,0.6733333333333333,31,49,101,13
0.5500000000000002,0.3875,0.7045454545454546,0.5,0.60546875,0.3266666666666666,0.6733333333333333,31,49,101,13
0.5600000000000002,0.3875,0.7045454545454546,0.5,0.60546875,0.3266666666666666,0.6733333333333333,31,49,101,13
0.5700000000000002,0.3875,0.7045454545454546,0.5,0.60546875,0.3266666666666666,0.6733333333333333,31,49,101,13
0.5800000000000002,0.3875,0.7045454545454546,0.5,0.60546875,0.3266666666666666,0.6733333333333333,31,49,101,13
0.5900000000000002,0.3875,0.7045454545454546,0.5,0.60546875,0.3266666666666666,0.6733333333333333,31,49,101,13
0.6000000000000002,0.3924050632911392,0.7045454545454546,0.5040650406504066,0.6078431372549019,0.32,0.68,31,48,102,13
0.6100000000000001,0.3924050632911392,0.7045454545454546,0.5040650406504066,0.6078431372549019,0.32,0.68,31,48,102,13
0.6200000000000001,0.3924050632911392,0.7045454545454546,0.5040650406504066,0.6078431372549019,0.32,0.68,31,48,102,13
0.6300000000000001,0.3846153846153846,0.6818181818181818,0.4918032786885246,0.590551181102362,0.32,0.68,30,48,102,14
0.6400000000000001,0.3846153846153846,0.6818181818181818,0.4918032786885246,0.590551181102362,0.32,0.68,30,48,102,14
0.6500000000000001,0.3846153846153846,0.6818181818181818,0.4918032786885246,0.590551181102362,0.32,0.68,30,48,102,14
0.6600000000000001,0.3846153846153846,0.6818181818181818,0.4918032786885246,0.590551181102362,0.32,0.68,30,48,102,14
0.6700000000000002,0.3896103896103896,0.6818181818181818,0.4958677685950413,0.592885375494071,0.3133333333333333,0.6866666666666666,30,47,103,14
0.6800000000000002,0.3896103896103896,0.6818181818181818,0.4958677685950413,0.592885375494071,0.3133333333333333,0.6866666666666666,30,47,103,14
0.6900000000000002,0.3896103896103896,0.6818181818181818,0.4958677685950413,0.592885375494071,0.3133333333333333,0.6866666666666666,30,47,103,14
0.7000000000000002,0.3896103896103896,0.6818181818181818,0.4958677685950413,0.592885375494071,0.3133333333333333,0.6866666666666666,30,47,103,14
0.7100000000000002,0.3896103896103896,0.6818181818181818,0.4958677685950413,0.592885375494071,0.3133333333333333,0.6866666666666666,30,47,103,14
0.7200000000000002,0.3896103896103896,0.6818181818181818,0.4958677685950413,0.592885375494071,0.3133333333333333,0.6866666666666666,30,47,103,14
0.7300000000000002,0.3896103896103896,0.6818181818181818,0.4958677685950413,0.592885375494071,0.3133333333333333,0.6866666666666666,30,47,103,14
0.7400000000000002,0.3896103896103896,0.6818181818181818,0.4958677685950413,0.592885375494071,0.3133333333333333,0.6866666666666666,30,47,103,14
0.7500000000000002,0.3896103896103896,0.6818181818181818,0.4958677685950413,0.592885375494071,0.3133333333333333,0.6866666666666666,30,47,103,14
0.7600000000000002,0.3896103896103896,0.6818181818181818,0.4958677685950413,0.592885375494071,0.3133333333333333,0.6866666666666666,30,47,103,14
0.7700000000000002,0.3896103896103896,0.6818181818181818,0.4958677685950413,0.592885375494071,0.3133333333333333,0.6866666666666666,30,47,103,14
0.7800000000000001,0.3896103896103896,0.6818181818181818,0.4958677685950413,0.592885375494071,0.3133333333333333,0.6866666666666666,30,47,103,14
0.7900000000000001,0.3866666666666666,0.6590909090909091,0.4873949579831932,0.5776892430278885,0.3066666666666666,0.6933333333333334,29,46,104,15
0.8000000000000002,0.3866666666666666,0.6590909090909091,0.4873949579831932,0.5776892430278885,0.3066666666666666,0.6933333333333334,29,46,104,15
0.8100000000000002,0.3866666666666666,0.6590909090909091,0.4873949579831932,0.5776892430278885,0.3066666666666666,0.6933333333333334,29,46,104,15
0.8200000000000002,0.3866666666666666,0.6590909090909091,0.4873949579831932,0.5776892430278885,0.3066666666666666,0.6933333333333334,29,46,104,15
0.8300000000000002,0.4027777777777778,0.6590909090909091,0.5,0.5846774193548386,0.2866666666666667,0.7133333333333334,29,43,107,15
0.8400000000000002,0.4057971014492754,0.6363636363636364,0.4955752212389381,0.5714285714285714,0.2733333333333333,0.7266666666666667,28,41,109,16
0.8500000000000002,0.4057971014492754,0.6363636363636364,0.4955752212389381,0.5714285714285714,0.2733333333333333,0.7266666666666667,28,41,109,16
0.8600000000000002,0.4307692307692308,0.6363636363636364,0.5137614678899082,0.5809128630705395,0.2466666666666666,0.7533333333333333,28,37,113,16
0.8700000000000002,0.4516129032258064,0.6363636363636364,0.5283018867924528,0.588235294117647,0.2266666666666666,0.7733333333333333,28,34,116,16
