,GNSS_12H,KH0206_Displacement,KH0112_Displacement,KH0117_Displacement,KH0118_Displacement,KH0218_Displacement,KH0306_Displacement,KH0206_Piezometer,KH0112_Piezometer,KH0117_Piezometer,KH0118_Piezometer,KH0218_Piezometer,KH0306_Piezometer,Seismicity_borehole,Seismicity_surface,Air_temperature,Precipitation,Snow,Surface_runoff
count,4377.0,4152.0,3139.0,1254.0,1190.0,834.0,3255.0,4156.0,3141.0,1255.0,1190.0,1039.0,3257.0,387.0,4088.0,4468.0,4468.0,4468.0,4468.0
mean,122.65913747380952,1.3125012989591867,-0.7390914670741568,0.06114008974985842,0.8420552637512906,0.03830490531178736,2.0518549093578398,-44.69202438662526,-62.145564774272685,-51.04007219424453,-33.91605172344439,-38.614109813020285,-41.1338147493781,1628.6067352159248,1561.9455535796867,0.2245299910474486,4.779610564010743,118.05212623097583,5.674127126230976
std,71.43708039031407,2.122556259429781,4.84657610718504,0.24249901138613272,0.4610813469537473,0.09509739790905967,5.157575547514249,0.457966476202784,0.3379085403737739,1.8129446892506107,4.9571613479315175,11.509722273857562,0.7413633082311072,379.40896742522153,3393.1969618064404,6.668751434378562,9.385602295564176,110.25695992929411,10.519711146667051
min,2.5441861206439396,-0.014960144927536232,-19.790855072463767,-6.631398601398602,-0.004406446540880503,-0.17264880952380954,-0.38655555555555554,-48.626304347826085,-62.97291666666666,-53.60152777777778,-41.02833333333333,-59.228298611111114,-42.99391304347826,510.0,62.0,-19.15,0.0,0.0,0.0
25%,63.426610767605965,0.16559375,0.15226944444444446,0.020833333333333336,0.5066155660377358,-0.02559838485789573,-0.12506875,-45.017329545454544,-62.367826086956526,-52.45476851851852,-37.567458333333335,-37.68332729468599,-41.57875,1446.25,369.1201923076923,-4.75,0.0,8.3,0.0
50%,118.96853417380729,0.3315,0.4429944444444445,0.06476081730769231,0.8379088050314465,0.03817320289359763,0.6597534722222222,-44.713750000000005,-62.1875,-51.35925925925926,-34.68204166666666,-33.194270833333334,-41.187916666666666,1649.0,640.3071428571428,-0.05,0.7,101.7,0.0
75%,188.81698944276732,0.59209375,0.7535113888888889,0.1117181838768116,1.2629864386792453,0.09412743506493507,0.9629621074879228,-44.40875,-61.968333333333334,-50.39193438003221,-31.971760416666665,-31.34202068236715,-40.61000000000001,1833.950892857143,1353.1458333333333,5.25,5.3,193.925,7.0
max,263.84845710441584,7.727408666100255,1.1583583333333334,0.2194471153846154,1.5673231132075471,0.22853354978354978,19.3878125,-43.24333333333333,-59.507083333333334,-37.42157407407407,-12.901333333333334,-27.419791666666665,-38.77,4165.0,70087.1052631579,20.15,121.9,550.0,117.0
skew,0.2885921191619737,2.037234248670748,-3.605691755381087,-22.330306902225985,-0.025708082203367958,-0.1378719989847952,2.9516666408854766,0.23675718816393598,1.8213562751747894,1.9831225264337853,1.6213963530646132,-1.1193210623095717,-0.07518925394221757,0.9180673355502088,8.571626692319798,0.11066195258160147,3.906010727545286,0.887929216121124,2.315394053653239
kurtosis,-1.071229618584484,3.1501095821609635,11.08895046551827,568.162338969156,-1.1240887462001636,-0.40665234257454586,6.985279193346463,1.3405629068689824,9.481653391185061,8.722507411087673,3.6794857196392505,-0.5733267537051461,-0.2655992481867311,6.804843863264533,114.2897881961279,-0.5557491541767257,22.731756883164845,0.6214189934390681,7.237995234565383
