backbone,selected_checkpoint,disp_MAE,event_PR_AUC,event_detection_rate,strict_FPR,mean_lead_days,operating_threshold,parameters
PatchTST+LSTM,best_event,0.12650138139724731,0.350776795000615,0.2631578947368421,0.0,-2.6,0.16000000000000003,910472
PatchTST+LSTM,best_multi,0.10213842988014221,0.3538347776859897,0.3684210526315789,0.0,-1.7142857142857142,0.19,910472
PatchTST+LSTM,best_disp,0.10260938853025436,0.35158258196541725,1.0,0.0,-0.8947368421052632,0.060000000000000005,910472
PatchTST+LSTM,last,0.12798595428466797,0.35664380033698906,0.3157894736842105,0.0,-1.8333333333333333,0.1,910472
PatchTST+GRU,best_event,0.20955540239810944,0.34134740089370025,1.0,0.0,-0.8947368421052632,0.07,844424
PatchTST+GRU,best_multi,0.1325915902853012,0.47506467055254065,0.9473684210526315,0.03626943005181347,-2.0555555555555554,0.1,844424
PatchTST+GRU,best_disp,0.13694031536579132,0.47458607720009194,0.9473684210526315,0.015544041450777202,-1.7777777777777777,0.060000000000000005,844424
PatchTST+GRU,last,0.18660111725330353,0.3711565173510316,0.0,0.0,0.0,0.5400000000000001,844424
PatchTST+Mamba,best_event,0.1406937688589096,0.45653002293617717,0.47368421052631576,0.14507772020725387,-2.111111111111111,0.5500000000000002,1012104
PatchTST+Mamba,best_multi,0.13686354458332062,0.4527851366128118,0.631578947368421,0.11398963730569948,-1.1666666666666667,0.11000000000000001,1012104
PatchTST+Mamba,best_disp,0.13686354458332062,0.4527851366128118,0.631578947368421,0.11398963730569948,-1.1666666666666667,0.11000000000000001,1012104
PatchTST+Mamba,last,0.15770849585533142,0.44587629565335524,0.6842105263157895,0.16580310880829016,-1.0,0.13,1012104
PatchTST+Transformer,best_event,0.16404837369918823,0.3144444609371544,1.0,0.9637305699481865,-0.8947368421052632,0.9500000000000002,1044232
PatchTST+Transformer,best_multi,0.09059102088212967,0.3312594221915516,1.0,1.0,-0.8947368421052632,0.09000000000000001,1044232
PatchTST+Transformer,best_disp,0.09103914350271225,0.3322473558912164,1.0,1.0,-0.8947368421052632,0.07,1044232
PatchTST+Transformer,last,0.24328598380088806,0.3005879806305468,1.0,1.0,-0.8947368421052632,0.05,1044232
PatchTST-only,best_event,0.15665878355503082,0.3755909460305083,1.0,0.17616580310880828,-0.8947368421052632,0.060000000000000005,646280
PatchTST-only,best_multi,0.13219133019447327,0.36579494497632903,1.0,0.19689119170984457,-0.8947368421052632,0.15000000000000002,646280
PatchTST-only,best_disp,0.13219133019447327,0.36579494497632903,1.0,0.19689119170984457,-0.8947368421052632,0.15000000000000002,646280
PatchTST-only,last,0.16603997349739075,0.4027397866158742,1.0,0.15544041450777202,-0.8947368421052632,0.07,646280
